Party,List No.,Ballot Last Name,Ballot First Name,Electorate
ACT New Zealand,1,SEYMOUR,David Breen,Epsom
ACT New Zealand,2,VAN VELDEN,Brooke,Tāmaki
ACT New Zealand,3,McKEE,Nicole,Rongotai
ACT New Zealand,4,STEPHENSON,Todd,Southland
ACT New Zealand,5,HOGGARD,Andrew John,Rangitīkei
ACT New Zealand,6,CHHOUR,Karen,Upper Harbour
ACT New Zealand,7,CAMERON,Mark,Northland
ACT New Zealand,8,COURT,Simon,Te Atatū
ACT New Zealand,9,PARMAR,Parmjeet,Pakuranga
ACT New Zealand,10,TRASK,Laura,Banks Peninsula
ACT New Zealand,11,LUXTON,Cameron,Bay of Plenty
ACT New Zealand,12,MODKOVA,Antonia,Panmure-Ōtāhuhu
ACT New Zealand,13,PARMAR,Himanshu,Hamilton East
ACT New Zealand,14,SEVERIN,Toni,Christchurch East
ACT New Zealand,15,HARVEY,Ben,Selwyn
ACT New Zealand,16,DOUGLAS,Rob,Tukituki
ACT New Zealand,17,BAILLIE,Chris,Nelson
ACT New Zealand,18,YOUNG,Christine,Tauranga
ACT New Zealand,19,COZENS,Zane,Taupō
ACT New Zealand,20,FOLEY,Leo George,Northcote
ACT New Zealand,21,YALLOP,Anna,North Shore
ACT New Zealand,22,BROWN,Lily,Mana
ACT New Zealand,23,McCORMICK,Mike,Papakura
ACT New Zealand,24,PARKINS,Andy,Hutt South
ACT New Zealand,25,POOLE,Felix,Auckland Central
ACT New Zealand,26,CHOPRA,Rahul,Mt Roskill
ACT New Zealand,27,HOWE,Michael,East Coast
ACT New Zealand,28,MURPHY,Ollie,Mt Albert
ACT New Zealand,29,GRIFFITHS,Keith,Kaikōura
ACT New Zealand,30,AH CHEE,Rae,Takanini
ACT New Zealand,31,STEVENSON,Susan,Hamilton West
ACT New Zealand,32,McCOOK,Michael,East Coast Bays
ACT New Zealand,33,ALVAREZ DE LUGO,Juan,New Lynn
ACT New Zealand,34,MILEWSKI,Pawel,Napier
ACT New Zealand,35,CHRISTENSEN,Neil,Port Waikato
ACT New Zealand,36,ANDERSON,Dion,Non-electorate candidate
ACT New Zealand,37,ANGELO,Simon,Whangaparāoa
ACT New Zealand,38,BEAMISH,Sean,Waitaki
ACT New Zealand,39,BRETHERTON,Susy,Whangārei
ACT New Zealand,40,CAMPBELL,Ross Eric,Waimakariri
ACT New Zealand,41,CASEY,Simon Francis,Wairarapa
ACT New Zealand,42,CURRAN,Jacob,Kelston
ACT New Zealand,43,DONALDSON,Scott Ian,Invercargill
ACT New Zealand,44,FISKEN,Matthew Hunter,Christchurch Central
ACT New Zealand,45,HARNETT,Mike,Palmerston North
ACT New Zealand,46,JOSEPH,Pothen,Māngere
ACT New Zealand,47,LILLEY,Kelly,West Coast-Tasman
ACT New Zealand,48,MATTHEWS,Kevin,Non-electorate candidate
ACT New Zealand,49,MEFFAN,Burty,Taieri
ACT New Zealand,50,ROZEBOOM,Marten,Rotorua
ACT New Zealand,51,RUSH,Sean Edward,Ōtaki
ACT New Zealand,52,DREDGE,Craig,Whanganui
ACT New Zealand,53,NEWMAN,Tim,Dunedin
ACT New Zealand,54,BURNS,Bo,Botany
ACT New Zealand,55,VERBURG,Joanna,Coromandel
ACT New Zealand,56,LYNN,Ankita,Wigram
ACT New Zealand,57,BAILEY,Brent,Kaipara ki Mahurangi
ACT New Zealand,58,ONISHCHENKO,Margo,Maungakiekie
ACT New Zealand,59,HURLE,Michael,Remutaka
ACT New Zealand,60,DAY,Paul,Ōhāriu
ACT New Zealand,61,McGECHAN,Bruce,New Plymouth
Animal Justice Party,1,McNEIL,Robert,Botany
Animal Justice Party,2,RIPPON,Anna Joy,Port Waikato
Animal Justice Party,3,EMET,Atom,Rongotai
Animal Justice Party,4,HANCOCK,Nicholas,Pakuranga
Animal Justice Party,5,WERETA,Danette,Christchurch East
Animal Justice Party,6,WATKINS,Hamish,New Plymouth
Animal Justice Party,7,JACKSON,Sarah,Christchurch Central
Animal Justice Party,8,CARRINGTON,Lily,Hamilton East
Animal Justice Party,9,KYLE,Sandra,Whanganui
Animal Justice Party,10,JEET,Paran,Banks Peninsula
Animal Justice Party,11,GORDON,Christopher,Wellington Central
Animal Justice Party,12,BEGG,Douglas,Palmerston North
Animal Justice Party,13,STOKMAN,Chelsea Jordan,Tauranga
Animal Justice Party,14,GRATTAN,Caitlin,Bay of Plenty
Animal Justice Party,15,KANE,Madeleine,Auckland Central
Animal Justice Party,16,WILSON,Melanie,Hamilton West
Animal Justice Party,17,TULLOCH,Lynley Kim,Takanini
Aotearoa Legalise Cannabis Party,1,HERBERT,Maki,Te Tai Tokerau
Aotearoa Legalise Cannabis Party,2,APPLEBY,Michael George,Wellington Central
Aotearoa Legalise Cannabis Party,3,BRITNELL,Michael,Christchurch Central
Aotearoa Legalise Cannabis Party,4,LAMBERT,Paula,Christchurch East
Aotearoa Legalise Cannabis Party,5,O'CONNELL,Kevin Patrick,Invercargill
Aotearoa Legalise Cannabis Party,6,BRITNELL,Irinka,Ilam
Aotearoa Legalise Cannabis Party,7,LYE,Jeffrey,Northland
Aotearoa Legalise Cannabis Party,8,de JONGE,Jeni,Whangārei
Aotearoa Legalise Cannabis Party,9,COKER,Christopher,Auckland Central
Aotearoa Legalise Cannabis Party,10,ANDERSON,Blair,Wigram
Aotearoa Legalise Cannabis Party,11,MANNING,Romana (Marnz),Tukituki
Aotearoa Legalise Cannabis Party,12,GRUMBALL,Anntwinette,Southland
Aotearoa Legalise Cannabis Party,13,ROBIN,Rebecca,Te Tai Tonga
Aotearoa Legalise Cannabis Party,14,McDERMOTT,Adrian,Dunedin
Aotearoa Legalise Cannabis Party,15,McDONALD,Anituhia,Non-electorate candidate
Aotearoa Legalise Cannabis Party,16,BROWN,Tony,Non-electorate candidate
DemocracyNZ,1,KING,Matt,Northland
DemocracyNZ,2,MALCOLM,Gordon,Waimakariri
DemocracyNZ,3,TILDSLEY,Leao,Kelston
DemocracyNZ,4,LANGFORD,Martin,Napier
DemocracyNZ,5,BRIGHT,Scotty,Port Waikato
DemocracyNZ,6,O'CONNELL,Juanita,Ilam
DemocracyNZ,7,SMALL,Roger,Waitaki
DemocracyNZ,8,BURGESS,Diana,Whangārei
DemocracyNZ,9,ALLINGTON,Doug,Banks Peninsula
DemocracyNZ,10,BREWER,Sarah,Kaipara ki Mahurangi
DemocracyNZ,11,CAMPBELL,Sandra,Kaikōura
DemocracyNZ,12,ROBINSON,Chris,East Coast
DemocracyNZ,13,LAYBOURN,Craig,Whangaparāoa
Freedoms NZ,1,TAMAKI,Brian,Non-electorate candidate
Freedoms NZ,2,GREY,Sue,West Coast-Tasman
Freedoms NZ,3,TAMAKI,Hannah,Tāmaki Makaurau
Freedoms NZ,4,POKERE-PHILLIPS,Donna,Hauraki-Waikato
Freedoms NZ,5,ROBERTSON,Heker,Remutaka
Freedoms NZ,6,COOK,Aly,Non-electorate candidate
Freedoms NZ,7,DAVIE,Paul,Auckland Central
Freedoms NZ,8,MANN,Phineas,New Lynn
Freedoms NZ,9,WARREN,Caine,Manurewa
Freedoms NZ,10,ALCOCK,John,Pakuranga
Freedoms NZ,11,TEPOU,Sarai,Coromandel
Freedoms NZ,12,HUNIA,Charles Tiki,Waiariki
Freedoms NZ,13,DONALDSON,Mark,Northcote
Freedoms NZ,14,CHUAH,Eric,Maungakiekie
Freedoms NZ,15,SIMMONS,Alan,Non-electorate candidate
Freedoms NZ,16,NGAHUKA,Michael,Tukituki
Freedoms NZ,17,SUDHAMALLA,Vijay,Port Waikato
Freedoms NZ,18,CLARKSON,Michael,Rangitata
Freedoms NZ,19,MACLEAN,Naomi,Southland
Freedoms NZ,20,ALAILIMA,Fuiavailili,Māngere
Freedoms NZ,21,MOUNTJOY,Grant,Non-electorate candidate
Freedoms NZ,22,DU PLOOY,Rudi,Hamilton West
Freedoms NZ,23,MOKARAKA,Karl,Panmure-Ōtāhuhu
Freedoms NZ,24,HARVEY,Kathy,Papakura
Freedoms NZ,25,ROA,Merania,Rongotai
Freedoms NZ,26,WINIATA,Paris,Te Tai Hauāuru
Freedoms NZ,27,SAMUELS,Leon,Tauranga
Freedoms NZ,28,LIM,Patrick,Ōhāriu
Freedoms NZ,29,DORNAN,Lois,Waikato
Freedoms NZ,30,LIM,Meg,Wellington Central
Freedoms NZ,31,PACKER,Leighton,East Coast
Freedoms NZ,32,RANGITUTIA,Max,Hutt South
Freedoms NZ,33,RAISON,Daryl,Taranaki-King Country
Freedoms NZ,34,TERRILL,Judith,Invercargill
Freedoms NZ,35,TUHAKARAINA,Ata,Ikaroa-Rāwhiti
Green Party,1,DAVIDSON,Marama Mere-Ana,Non-electorate candidate
Green Party,2,SHAW,James,Non-electorate candidate
Green Party,3,SWARBRICK,Chlöe,Auckland Central
Green Party,4,GENTER,Julie Anne,Rongotai
Green Party,5,TUIONO,Teanau,Palmerston North
Green Party,6,PHAM,Lan,Banks Peninsula
Green Party,7,GHAHRAMAN,Golriz,Kelston
Green Party,8,MENENDEZ MARCH,Ricardo,Mt Albert
Green Party,9,ABEL,Steve,New Lynn
Green Party,10,LYNDON,Hūhana,Te Tai Tokerau
Green Party,11,COLLINS,Fa'anānā Efeso,Panmure-Ōtāhuhu
Green Party,12,WILLIS,Scott,Taieri
Green Party,13,TANA,Darleen,Tāmaki Makaurau
Green Party,14,CARTER,Kahurangi,Christchurch Central
Green Party,15,WADE-BROWN,Celia,Wairarapa
Green Party,16,XU-NAN,Lawrence Xi,Epsom
Green Party,17,HERNANDEZ,Francisco,Dunedin
Green Party,18,DOYLE,Benjamin,Hamilton West
Green Party,19,DAVIDSON,Mike,Ilam
Green Party,20,RODGERS,Stephanie,Ōhāriu
Green Party,21,SANIS WALGAMPOLA,Suveen,Mt Roskill
Green Party,22,KENNEDY,Dave,Southland
Green Party,23,DAO-MCLAY,Gina,Mana
Green Party,24,PENNEY,Reina Tuai,Northland
Green Party,25,RATCLIFFE,Nick,Tukituki
Green Party,26,WESLEY,Richard,Wigram
Green Party,27,JENNINGS,Neelu,Hutt South
Green Party,28,SAMANT,Sapna,Maungakiekie
Green Party,29,BASKETT,Pat,North Shore
Green Party,30,BAZELEY,Rick,Whangārei
Green Party,31,BROWN,Zephyr,Kaipara ki Mahurangi
Green Party,32,CROOKS,Justin,Tauranga
Green Party,33,DOYLE,Thea,Upper Harbour
Green Party,34,GILCHRIST,Barbara,Rangitata
Green Party,35,GREALEY,Pamela,Coromandel
Green Party,36,HANSEN,Pleasance,Waitaki
Green Party,37,LONG,Bernard,Rangitīkei
Green Party,38,MACMILLAN,Matthew,Bay of Plenty
Green Party,39,McCUBBIN,Richard,Kaikōura
Green Party,40,MUHAMMAD,Ali,Ōtaki
Green Party,41,NEUMANN,Zooey,Te Atatū
Green Party,42,NEWMAN,Lorraine,Whangaparāoa
Green Party,43,NORTON,Chris,Remutaka
Green Party,44,O'CONNOR PATENA,George,Taupō
Green Party,45,RICHARDS,Steve,West Coast-Tasman
Green Party,46,SANSON,Marion,Whanganui
Green Party,47,SHAW,Andrew,Northcote
Green Party,48,SYKES,Peter,Māngere
Green Party,49,WALKER,Jordan,East Coast
Labour Party,1,HIPKINS,Chris,Remutaka
Labour Party,2,DAVIS,Kelvin,Te Tai Tokerau
Labour Party,3,SEPULONI,Carmel,Kelston
Labour Party,4,ROBERTSON,Grant,Non-electorate candidate
Labour Party,5,WOODS,Megan,Wigram
Labour Party,6,TINETTI,Jan,Tauranga
Labour Party,7,VERRALL,Ayesha,Non-electorate candidate
Labour Party,8,JACKSON,Willie,Non-electorate candidate
Labour Party,9,PRIME,Willow-Jean,Northland
Labour Party,10,O'CONNOR,Damien,West Coast-Tasman
Labour Party,11,RURAWHE,Adrian,Non-electorate candidate
Labour Party,12,LITTLE,Andrew,Non-electorate candidate
Labour Party,13,PARKER,David,Non-electorate candidate
Labour Party,14,HENARE,Peeni,Tāmaki Makaurau
Labour Party,15,RADHAKRISHNAN,Priyanca,Maungakiekie
Labour Party,16,McANULTY,Kieran,Wairarapa
Labour Party,17,ANDERSEN,Ginny,Hutt South
Labour Party,18,EDMONDS,Barbara,Mana
Labour Party,19,LUXTON,Jo,Rangitata
Labour Party,20,WEBB,Duncan,Christchurch Central
Labour Party,21,TIRIKATENE,Rino,Te Tai Tonga
Labour Party,22,RUSSELL,Deborah,New Lynn
Labour Party,23,BROOKING,Rachel,Dunedin
Labour Party,24,SALESA,Jenny,Panmure-Ōtāhuhu
Labour Party,25,UTIKERE,Tangi,Palmerston North
Labour Party,26,BELICH,Camilla,Epsom
Labour Party,27,McLELLAN,Tracey,Banks Peninsula
Labour Party,28,HALBERT,Shanan,Northcote
Labour Party,29,BENNETT,Glen,New Plymouth
Labour Party,30,WALTERS,Vanushi,Upper Harbour
Labour Party,31,DANSEY,Georgie,Hamilton East
Labour Party,32,ROSEWARNE,Dan,Waimakariri
Labour Party,33,CHEN,Naisi,East Coast Bays
Labour Party,34,KANONGATA'A,Anahila,Papakura
Labour Party,35,ROBERTS,Angela,Taranaki-King Country
Labour Party,36,COFFEY,Tamati,East Coast
Labour Party,37,OMER,Ibrahim,Wellington Central
Labour Party,38,LEAVASA,Anae Neru,Takanini
Labour Party,39,BOYNTON,Toni,Waiariki
Labour Party,40,LORCK,Anna,Tukituki
Labour Party,41,HAMPTON,George,North Shore
Labour Party,42,BOYACK,Rachel Elizabeth,Nelson
Labour Party,43,WARREN-CLARK,Angie,Whangārei
Labour Party,44,CRAIG,Liz,Invercargill
Labour Party,45,WOOD,Michael Philip,Mt Roskill
Labour Party,46,NGOBI,Terisa,Ōtaki
Labour Party,47,WHITE,Helen,Mt Albert
Labour Party,48,WILLIAMS,Arena,Manurewa
Labour Party,49,TWYFORD,Phil,Te Atatū
Labour Party,50,LEWIS,Steph,Whanganui
Labour Party,51,PALLETT,Sarah,Ilam
Labour Party,52,LEARY,Ingrid,Taieri
Labour Party,53,SOSENE,Lemauga Lydia,Māngere
Labour Party,54,TAIKATO,Pare,Bay of Plenty
Labour Party,55,MULLER PALLARÈS,Estefania,Whangaparāoa
Labour Party,56,FITZSIMONS,Fleur,Rongotai
Labour Party,57,DAVIDSON,Reuben,Christchurch East
Labour Party,58,RUANE,Nick,Non-electorate candidate
Labour Party,59,SOLOMONE,Fesaitu,Tāmaki
Labour Party,60,HUTCHINSON,Mark,Napier
Labour Party,61,HENRY,Nerissa,Pakuranga
Labour Party,62,WILLIAMSON,Myra,Hamilton West
Labour Party,63,SIMS,Oscar,Auckland Central
Labour Party,64,AL-BUSTANJI,Aladdin,Taupō
Labour Party,65,KEEL,Gwendoline,Port Waikato
Leighton Baker Party,1,BAKER,Leighton,Waimakariri
Leighton Baker Party,2,GILLESPIE,Wendy,Bay of Plenty
Leighton Baker Party,3,CULLIMORE,Debra Marie,Wigram
National Party,1,LUXON,Christopher,Botany
National Party,2,WILLIS,Nicola,Ōhāriu
National Party,3,BISHOP,Chris,Hutt South
National Party,4,RETI,Shane,Whangārei
National Party,5,GOLDSMITH,Paul,Epsom
National Party,6,UPSTON,Louise,Taupō
National Party,7,STANFORD,Erica,East Coast Bays
National Party,8,DOOCEY,Matt,Waimakariri
National Party,9,BROWN,Simeon,Pakuranga
National Party,10,COLLINS,Judith,Papakura
National Party,11,MITCHELL,Mark,Whangaparāoa
National Party,12,McCLAY,Todd,Rotorua
National Party,13,LEE,Melissa,Mt Albert
National Party,14,BROWNLEE,Gerry,Non-electorate candidate
National Party,15,BAYLY,Andrew,Port Waikato
National Party,16,SIMMONDS,Penny,Invercargill
National Party,17,WATTS,Simon,North Shore
National Party,18,PENK,Chris,Kaipara ki Mahurangi
National Party,19,GRIGG,Nicola,Selwyn
National Party,20,LU,Nancy,Non-electorate candidate
National Party,21,REDMAYNE,Suze,Rangitīkei
National Party,22,NIMON,Katie,Napier
National Party,23,WEDD,Catherine,Tukituki
National Party,24,POTAKA,Tama William,Hamilton West
National Party,25,LOHENI,Akenese Loreta,Non-electorate candidate
National Party,26,PUGH,Maureen,West Coast-Tasman
National Party,27,CHATTERTON,Emma,Remutaka
National Party,28,CHRISTMAS,James,Non-electorate candidate
National Party,29,STEPHENS,Dale Aotea,Christchurch Central
National Party,30,KILARI,Siva,Manurewa
National Party,31,HIPANGO,Harete,Te Tai Hauāuru
National Party,32,BOURKE,Rosemary,Māngere
National Party,33,HUGHES,Frances,Mana
National Party,34,GARCIA,Paulo,New Lynn
National Party,35,CAMERON,Blair,Nelson
National Party,36,KURIGER,Barbara,Taranaki-King Country
National Party,37,SUMMERFIELD,Tracy,Wigram
National Party,38,TE HAU,Hinurewa,Tāmaki Makaurau
National Party,39,NICHOLAS,Angee,Te Atatū
National Party,40,WEENINK,Vanessa,Banks Peninsula
National Party,41,NAKHLE,Rima,Takanini
National Party,42,SCHAUMKEL,Ruby,Kelston
National Party,43,MURALIDHAR,Mahesh,Auckland Central
National Party,44,KIRKPATRICK,Dana,East Coast
National Party,45,SHEERAN,Scott,Wellington Central
National Party,46,RANDHAWA,Navtej,Panmure-Ōtāhuhu
National Party,47,BATES,Carl,Whanganui
National Party,48,CHEUNG,Carlos,Mt Roskill
National Party,49,FRENCH,Matthew,Taieri
National Party,50,STOCK,Matt,Christchurch East
National Party,51,MUTHU,Karunā,Rongotai
National Party,52,BANSAL,Ankit,Palmerston North
National Party,53,MOONEY,Joseph,Southland
National Party,54,O'CONNOR,Simon,Tāmaki
National Party,55,SIMPSON,Scott,Coromandel
National Party,56,SMITH,Stuart,Kaikōura
National Party,57,UFFINDELL,Sam,Tauranga
National Party,58,VAN DE MOLEN,Tim,Waikato
National Party,59,ANDERSON,Miles,Waitaki
National Party,60,BIDOIS,Dan,Northcote
National Party,61,BUTTERICK,Mike,Wairarapa
National Party,62,BREWER,Cameron,Upper Harbour
National Party,63,CAMPBELL,Hamish,Ilam
National Party,64,COSTLEY,Tim,Ōtaki
National Party,65,FLEMING,Greg,Maungakiekie
New Conservatives,1,HOUGHTON,Helen,Christchurch East
New Conservatives,2,DE BOER,Dieuwe,Botany
New Conservatives,3,THOMAS,Karl,Rangitata
New Conservatives,4,DEACON,Paul Kenneth,Non-electorate candidate
New Conservatives,5,O'BRIEN,Chris,Ilam
New Conservatives,6,HOOD,Alister,Kelston
New Conservatives,7,ELDER,Cyndee,Dunedin
New Conservatives,8,LANGRIDGE,Jono,Tauranga
New Conservatives,9,COULTER,Abe,Selwyn
New Conservatives,10,SENN,Steven,Non-electorate candidate
New Nation Party,1,JACOMB,Michael,Non-electorate candidate
New Nation Party,2,SLOCUM,Guy Dennis,Auckland Central
New Nation Party,3,ROBINSON,Greg,New Plymouth
New Nation Party,4,Van AMERSFOORT,Dolf,Rangitata
New Nation Party,5,ELVIDGE,Jeremy,Non-electorate candidate
New Nation Party,6,BARNES,Nathan Lee,Non-electorate candidate
New Nation Party,7,NEWBOULD,Jan,Non-electorate candidate
New Nation Party,8,de VRIES,Anthony,Non-electorate candidate
New Nation Party,9,MACKIE,Angela Joan B,Non-electorate candidate
New Nation Party,10,JOHNSTON,Brian,Non-electorate candidate
New Zealand First Party,1,PETERS,Winston,Non-electorate candidate
New Zealand First Party,2,JONES,Shane Geoffrey,Northland
New Zealand First Party,3,COSTELLO,Casey,Port Waikato
New Zealand First Party,4,PATTERSON,Mark,Taieri
New Zealand First Party,5,MARCROFT,Jenny,Kaipara ki Mahurangi
New Zealand First Party,6,ARBUCKLE,Jamie Arthur,Kaikōura
New Zealand First Party,7,FOSTER,Andy,Mana
New Zealand First Party,8,UNKOVICH,Tanya Marie,Epsom
New Zealand First Party,9,WILSON,David Ashley,Upper Harbour
New Zealand First Party,10,HARVEY,Erika,Tauranga
New Zealand First Party,11,MURFITT,Kirsten,Bay of Plenty
New Zealand First Party,12,DONOGHUE,Lee,Hutt South
New Zealand First Party,13,HUSBAND,Stuart,Waikato
New Zealand First Party,14,BENNEY,Gavin,Whangārei
New Zealand First Party,15,DEGIA-PALA,Anne,Kelston
New Zealand First Party,16,BALLANTYNE,Robert,Rangitata
New Zealand First Party,17,VERMEULEN,Helma,Rangitīkei
New Zealand First Party,18,TURNBULL,Laurie,Napier
New Zealand First Party,19,ARNEIL,Taylor,Wellington Central
New Zealand First Party,20,LANGEVELD,Keegan,Dunedin
New Zealand First Party,21,PEHI,Tira,Taupō
New Zealand First Party,22,WIREMU,Shane,Christchurch East
New Zealand First Party,23,ARNEIL,Mark,Christchurch Central
New Zealand First Party,24,WARREN,Michelle,Northcote
New Zealand First Party,25,MONDS,Robert,Papakura
New Zealand First Party,26,STONE,Kevin,Hamilton West
New Zealand First Party,27,FARRELLY,Jackie,West Coast-Tasman
New Zealand First Party,28,MILLS,Geoff,Rongotai
New Zealand First Party,29,ODERING,Anthony,Waitaki
New Zealand First Party,30,ARNOLD,William,Whanganui
New Zealand First Party,31,SINCLAIR,Craig,East Coast
New Zealand First Party,32,KNAAP,Russelle,Hamilton East
New Zealand First Party,33,KERSLAKE,Lindsay,Banks Peninsula
New Zealand First Party,34,HOGG,Andrew,Maungakiekie
New Zealand First Party,35,ANSELL,Caleb,Coromandel
New Zealand Loyal,1,GUNN,Liz,Non-electorate candidate
New Zealand Loyal,2,DREW,Peter,Non-electorate candidate
New Zealand Loyal,3,ENGEL,Philip George,Non-electorate candidate
NewZeal,1,NGARO,Alf Metuakore,Non-electorate candidate
NewZeal,2,ADAMS,Paul,East Coast Bays
NewZeal,3,BLACK-VERCOE,Kariana,Rotorua
NewZeal,4,MEAD,Lisa Marie,Banks Peninsula
NewZeal,5,PITIROI,Tony,Remutaka
NewZeal,6,NIMMO,Charles,Non-electorate candidate
NewZeal,7,WINITANA,Waipatu,Non-electorate candidate
NewZeal,8,PITA,Tracey,Non-electorate candidate
NewZeal,9,COLLING,Hayley,Non-electorate candidate
NewZeal,10,PITA,Watson,Non-electorate candidate
NewZeal,11,GREAVES,Marlene Angilene,Non-electorate candidate
Te Pāti Māori,1,NGAREWA-PACKER,Debbie,Te Tai Hauāuru
Te Pāti Māori,2,WAITITI,Rawiri,Waiariki
Te Pāti Māori,3,WHAITIRI,Meka,Ikaroa-Rāwhiti
Te Pāti Māori,4,MAIPI-CLARKE,Hana-Rawhiti,Hauraki-Waikato
Te Pāti Māori,5,FERRIS,Tākuta,Te Tai Tonga
Te Pāti Māori,6,KEMP,Takutai Tarsh,Tāmaki Makaurau
Te Pāti Māori,7,KAPA-KINGI,Mariameno,Te Tai Tokerau
Te Pāti Māori,8,RAUKAWA-TAIT,Merepeka,Rotorua
Te Pāti Māori,9,KAPA-KINGI,Eru,Whangārei
Te Pāti Māori,10,FLAVELL,Keanu,Non-electorate candidate
Te Pāti Māori,11,PETERS,Hilda,Māngere
Te Pāti Māori,12,POIHEGATAMA,Arabela,Non-electorate candidate
Te Pāti Māori,13,HURIWAI-SEGER,Pere,Non-electorate candidate
Te Pāti Māori,14,KEREAMA,Hoera,Non-electorate candidate
Te Pāti Māori,15,KAPA,Te Ao,Non-electorate candidate
Te Pāti Māori,16,BELL,Bridget Frances,Non-electorate candidate
Te Pāti Māori,17,FLAVELL,Fallyn,East Coast
Te Pāti Māori,18,HURA,Rivah,Non-electorate candidate
Te Pāti Māori,19,O'SULLIVAN,Conor,Non-electorate candidate
Te Pāti Māori,20,MOXON,Tureiti Haromi,Non-electorate candidate
Te Pāti Māori,21,TUAINE,Nancy Teurumanao,Non-electorate candidate
Te Pāti Māori,22,BUTLER,Teresa,Non-electorate candidate
Te Pāti Māori,23,CAMPBELL-KAMARIERA,Kyla,Non-electorate candidate
Te Pāti Māori,24,HAREMA,Jacqui,Kelston
Te Pāti Māori,25,MCLEOD,Te Waka Ruapounamu,Non-electorate candidate
Te Pāti Māori,26,TAMIHERE,John,Te Atatū
Te Pāti Māori,27,PUE,Elijah,Non-electorate candidate
Te Pāti Māori,28,MCLEAN,Rangi,Manurewa
Te Pāti Māori,29,SYDNEY,Mikaere Taingahue,Tauranga
Te Pāti Māori,30,PARKER,Awatea,Hamilton East
Te Pāti Māori,31,WAIKARE,Te Whakapono,Wairarapa
The Opportunities Party (TOP),1,MANJI,Raf,Ilam
The Opportunities Party (TOP),2,ALBERT,Natalia,Wellington Central
The Opportunities Party (TOP),3,PETERS,Ben,Dunedin
The Opportunities Party (TOP),4,SU,Nina,Epsom
The Opportunities Party (TOP),5,NAVOT,Shai,Upper Harbour
The Opportunities Party (TOP),6,HAMMOND,Jessica,Ōhāriu
The Opportunities Party (TOP),7,SWORDS,Ciara,Mt Albert
The Opportunities Party (TOP),8,SYCAMORE,Damian,Auckland Central
The Opportunities Party (TOP),9,POCOCK,Naomi,Hamilton West
The Opportunities Party (TOP),10,GRAY,Abe,North Shore
The Opportunities Party (TOP),11,WYLIE-VAN EERD,Ben,Hutt South
The Opportunities Party (TOP),12,CORKIN,Alex,Hamilton East
The Opportunities Party (TOP),13,OWEN,Megan,Waikato
Women’s Rights Party,1,OVENS,Jill,Non-electorate candidate
Women’s Rights Party,2,DEL LA VARIS,Chimene,Non-electorate candidate
Women’s Rights Party,3,GUILLILAND,Karen,Non-electorate candidate
Women’s Rights Party,4,FORNUSEK,Marnie,Non-electorate candidate
Women’s Rights Party,5,HYMAN,Prue,Non-electorate candidate
Women’s Rights Party,6,ORMSBY,Catherine,Non-electorate candidate
Women’s Rights Party,7,ROSE,Linde,Non-electorate candidate
Women’s Rights Party,8,HOSKINS,Sue Maree,Non-electorate candidate
Women’s Rights Party,9,MANN,Catherine,Non-electorate candidate
Women’s Rights Party,10,CLARK,MacKenzie,Non-electorate candidate
Women’s Rights Party,11,LAUDERDALE,Kathleen,Non-electorate candidate
Women’s Rights Party,12,OWEN-JONES,Adrienne,Non-electorate candidate
